step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
33030144,49280.6,-0.002749,15.425333,0.001085,-1.101562,0.0,0.1144,-14.1024,0.023634,0.009746,0.006637,1.714164,1.625048,0.0
33816576,48466.4,0.001487,17.658365,0.001003,-0.996094,0.0,0.1143,-14.091,0.029872,0.011094,0.008644,1.47842,1.378472,0.0
34603008,48892.7,0.004374,17.889606,0.001237,-1.125,0.0,0.1135,-14.0891,0.020381,0.014059,0.00982,1.634962,1.536252,0.0
35389440,49281.1,-0.00779,17.066839,0.001241,-1.164062,0.0,0.113,-14.0939,0.022751,0.013155,0.009267,1.713093,1.516884,0.0
36175872,49689.4,-0.007627,16.449841,0.001202,-1.15625,0.0,0.1125,-14.0971,0.015913,0.009565,0.007218,1.680592,1.46304,0.0
36962304,48902.3,0.001305,17.216732,0.001013,-1.085938,0.0,0.1112,-14.1236,0.017972,0.017518,0.010216,1.638019,1.461058,0.0
37748736,49285.7,-0.000924,15.763187,0.001002,-1.109375,0.0,0.1093,-14.1471,0.020815,0.019214,0.013182,1.474336,1.37425,0.0
38535168,49677.1,0.002823,15.835365,0.000975,-1.132812,0.0,0.1082,-14.1678,0.018301,0.016825,0.011425,1.535341,1.467354,0.0
39321600,48792.9,0.002001,17.777647,0.00101,-1.054688,0.0,0.1063,-14.201,0.021839,0.01637,0.013401,1.64371,1.500294,0.0
40108032,49144.3,0.001673,15.083479,0.001036,-1.0625,0.0,0.1073,-14.1876,0.013789,0.013748,0.008461,1.592614,1.469934,0.0
40894464,49422.7,0.003745,14.14973,0.001038,-1.09375,0.0,0.1083,-14.1654,0.014614,0.017529,0.01504,1.583852,1.471075,0.0
41680896,49780.8,-0.006611,14.985583,0.001004,-1.109375,0.0,0.1093,-14.1478,0.012226,0.012749,0.010086,1.494971,1.352267,0.0
42467328,48903.6,0.002246,16.928549,0.000919,-1.046875,0.0,0.1091,-14.1562,0.013449,0.009885,0.008537,1.34176,1.346919,0.0
43253760,49256.0,-0.003075,15.743509,0.001014,-1.007812,0.0,0.1075,-14.1759,0.010128,0.008306,0.007943,1.405322,1.367354,0.0
44040192,49586.3,0.002842,14.912037,0.00096,-1.039062,0.0,0.1059,-14.1927,0.017604,0.01644,0.013006,1.367898,1.365,0.0
