step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
35389440,59035.2,0.001093,3.501065,0.000463,-0.570312,0.0,0.0954,-6.8429,0.010672,0.012454,0.007684,0.708875,1.500195
36175872,59374.2,-0.004362,3.362283,0.000457,-0.574219,0.0,0.0942,-6.8242,0.009275,0.011437,0.00466,0.735484,1.378254
36962304,58798.6,0.001998,3.541549,0.000453,-0.515625,0.0,0.0932,-6.8055,0.018762,0.018187,0.013432,0.799919,1.200304
37748736,59146.2,0.001562,3.108629,0.000438,-0.503906,0.0,0.0923,-6.7886,0.011549,0.017872,0.015588,0.77103,1.225716
38535168,59461.2,0.007228,3.369475,0.000464,-0.5625,0.0,0.0917,-6.7829,0.008375,0.011745,0.009447,0.672711,1.664993
39321600,58935.7,-0.001928,3.642008,0.000467,-0.527344,0.0,0.091,-6.7714,0.006641,0.007819,0.006343,0.727356,1.453533
40108032,59212.0,-0.00305,3.293965,0.000481,-0.597656,0.0,0.0901,-6.7602,0.00983,0.006859,0.006157,0.671322,1.431665
40894464,59485.7,-0.007872,3.285978,0.000471,-0.59375,0.0,0.0893,-6.7408,0.006434,0.007635,0.005667,0.759605,1.29338
41680896,59762.2,-0.007495,3.160717,0.00046,-0.566406,0.0,0.0887,-6.7253,0.007822,0.007111,0.006253,0.80622,1.184532
42467328,59195.5,-0.001693,3.499902,0.000445,-0.451172,0.0,0.0889,-6.7026,0.016091,0.012136,0.009163,0.610174,1.696763
43253760,59450.6,-0.001646,3.206471,0.000441,-0.535156,0.0,0.0901,-6.6572,0.014209,0.014125,0.010215,0.592184,1.665727
44040192,59702.6,0.000403,3.030219,0.00044,-0.570312,0.0,0.0913,-6.6127,0.008554,0.009144,0.006127,0.669835,1.53371
44826624,59174.7,0.000498,3.244581,0.000442,-0.425781,0.0,0.0926,-6.5636,0.009183,0.010939,0.007638,0.748193,1.264383
45613056,59443.0,-0.005998,2.911976,0.000448,-0.4375,0.0,0.0913,-6.5511,0.011209,0.013927,0.009872,0.658782,1.408451
46399488,59668.9,-0.002517,2.914196,0.000446,-0.445312,0.0,0.0904,-6.5311,0.009678,0.012756,0.009222,0.70711,1.322166
47185920,59937.0,0.005297,3.017212,0.000462,-0.451172,0.0,0.0896,-6.5208,0.006866,0.008879,0.005714,0.576412,1.665523
47972352,59508.8,-0.008367,3.410058,0.000493,-0.443359,0.0,0.0887,-6.5021,0.011315,0.014532,0.009855,0.637908,1.56408
48758784,59759.5,0.004184,3.275824,0.000497,-0.621094,0.0,0.0881,-6.4759,0.012271,0.012294,0.008087,0.603496,1.367771
49545216,60008.0,0.005476,3.079671,0.000482,-0.59375,0.0,0.0875,-6.4548,0.004846,0.00516,0.003954,0.695993,1.144403
50331648,59264.4,0.002679,3.536361,0.000474,-0.5,0.0,0.087,-6.435,0.008576,0.006905,0.00473,0.750245,1.193772
51118080,59470.2,5e-05,2.755177,0.000443,-0.476562,0.0,0.086,-6.4207,0.010979,0.022275,0.014806,0.563773,1.603571
51904512,59690.2,-0.004291,2.822546,0.000428,-0.527344,0.0,0.0844,-6.3931,0.012755,0.015153,0.010264,0.637709,1.426592
52690944,59889.1,0.000929,2.939845,0.000457,-0.574219,0.0,0.0829,-6.3762,0.0055,0.007381,0.005399,0.656181,1.473393
53477376,59269.5,0.002891,3.033295,0.000447,-0.431641,0.0,0.0817,-6.3603,0.011079,0.012486,0.008983,0.704123,1.251283
54263808,59486.9,0.001734,2.843789,0.000457,-0.527344,0.0,0.0811,-6.3561,0.015797,0.012577,0.010157,0.697243,1.224054
55050240,59703.0,0.004469,2.856403,0.000463,-0.511719,0.0,0.0806,-6.3538,0.012404,0.013575,0.011047,0.615894,1.518824
55836672,59890.6,-0.001054,2.683172,0.000475,-0.574219,0.0,0.0805,-6.3503,0.008116,0.008902,0.007979,0.605364,1.517249
56623104,59468.7,-0.004734,3.46509,0.000507,-0.431641,0.0,0.0801,-6.344,0.008621,0.012993,0.011742,0.626901,1.317047
57409536,59649.2,0.004437,2.717586,0.000479,-0.443359,0.0,0.08,-6.3296,0.011573,0.014942,0.013203,0.564696,1.453749
58195968,59776.5,0.006355,2.74903,0.000461,-0.417969,0.0,0.0799,-6.3104,0.010126,0.013249,0.008618,0.617854,1.253953
58982400,58376.8,0.009584,2.915788,0.000496,-0.423828,0.0,0.08,-6.2861,0.013565,0.013069,0.010625,0.548376,1.790985
59768832,58570.1,0.001152,2.442808,0.000477,-0.425781,0.0,0.0804,-6.257,0.007731,0.008113,0.00788,0.578438,1.561182
60555264,58735.3,-0.007026,2.341794,0.000444,-0.417969,0.0,0.0811,-6.2169,0.01033,0.009133,0.007291,0.577404,1.535616
61341696,58926.4,-0.00321,2.320535,0.000438,-0.443359,0.0,0.0818,-6.1755,0.005257,0.006232,0.004958,0.636829,1.465846
