step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
35389440,52697.9,-0.003861,3.476827,0.00061,-0.5,0.0,0.1049,-6.8229,0.016023,0.017632,0.012754,5.842784,10.82297
36175872,53108.5,-0.003925,3.184655,0.001764,-0.582031,0.0,0.1019,-6.8203,0.011301,0.013972,0.010536,5.856328,10.869909
36962304,52166.5,0.002545,3.516257,0.000459,-0.621094,0.0,0.101,-6.7996,0.014327,0.013856,0.009088,5.94763,11.088565
37748736,52512.0,0.001889,3.327783,0.000787,-0.554688,0.0,0.1007,-6.7631,0.015929,0.013955,0.00866,4.79681,12.121094
38535168,52833.2,-0.002902,3.210563,0.000861,-0.542969,0.0,0.1006,-6.7403,0.031539,0.020833,0.016454,6.469567,9.76615
39321600,52073.8,0.001934,3.414161,0.000779,-0.523438,0.0,0.1005,-6.7085,0.032146,0.015986,0.011524,6.614574,10.234446
40108032,52377.2,0.002695,3.1794,0.00048,-0.462891,0.0,0.1005,-6.6806,0.015513,0.011639,0.008601,5.816903,11.736832
40894464,52660.3,-0.000499,3.057322,0.000544,-0.435547,0.0,0.1008,-6.6419,0.035467,0.014061,0.018586,4.789264,12.582919
41680896,52948.4,-0.003407,3.009407,0.00091,-0.478516,0.0,0.1013,-6.6044,0.039375,0.011201,0.013551,4.844021,12.611438
42467328,52140.0,0.00231,3.336787,0.001316,-0.507812,0.0,0.1018,-6.5778,0.032489,0.022463,0.016131,6.740564,10.16124
43253760,52435.0,-0.002933,3.47727,0.001737,-0.423828,0.0,0.103,-6.5337,0.017635,0.016203,0.013045,6.470276,10.772441
44040192,52728.6,-0.007171,3.085367,0.000671,-0.408203,0.0,0.1042,-6.4896,0.01099,0.012173,0.010056,5.506003,12.902887
44826624,52074.9,-0.000518,3.347254,0.000439,-0.439453,0.0,0.1057,-6.4382,0.008502,0.007208,0.005649,4.746939,13.028972
45613056,52340.8,-0.002005,2.777707,0.000552,-0.472656,0.0,0.1064,-6.3949,0.01748,0.012888,0.010546,4.97841,12.65535
46399488,52607.5,0.000552,3.158739,0.00078,-0.478516,0.0,0.1071,-6.3564,0.009768,0.012827,0.0102,2.68325,14.494411
47185920,52861.5,-0.000977,2.987991,0.001298,-0.46875,0.0,0.1076,-6.324,0.009691,0.011942,0.009466,6.53201,10.801769
47972352,52421.6,0.002532,3.634071,0.001357,-0.542969,0.0,0.1086,-6.2798,0.011458,0.008507,0.00583,6.174529,11.065906
48758784,52687.3,-0.002087,2.718791,0.000721,-0.550781,0.0,0.1101,-6.2276,0.007778,0.011471,0.006724,6.252276,10.509604
49545216,52949.6,0.000433,2.837306,0.000479,-0.523438,0.0,0.1117,-6.1837,0.006154,0.008446,0.005014,5.539246,12.142525
50331648,52374.9,-0.001026,3.036791,0.001115,-0.558594,0.0,0.1133,-6.14,0.011757,0.010036,0.007053,2.92947,14.489851
51118080,52617.0,-0.003562,3.093419,0.000757,-0.503906,0.0,0.1137,-6.1169,0.010691,0.012548,0.009843,7.250634,10.106155
51904512,52859.1,-0.007922,2.845406,0.001632,-0.414062,0.0,0.1144,-6.0862,0.006112,0.009265,0.007263,6.065857,12.109316
52690944,53101.2,8.4e-05,2.743302,0.001918,-0.40625,0.0,0.115,-6.0533,0.011674,0.016932,0.012644,5.505393,12.613589
53477376,52526.1,-0.001228,2.909397,0.000471,-0.431641,0.0,0.1148,-6.0201,0.009482,0.011592,0.009005,5.061347,13.911258
54263808,52755.8,0.001563,2.70776,0.001351,-0.419922,0.0,0.1129,-5.997,0.011857,0.016235,0.012109,4.965566,14.087801
55050240,52977.0,-0.001237,2.764406,0.000606,-0.408203,0.0,0.1108,-5.9797,0.011146,0.012217,0.008791,6.467838,12.322052
55836672,53197.2,0.000627,2.598615,0.001171,-0.404297,0.0,0.1095,-5.9627,0.008652,0.010123,0.007486,6.10436,12.761473
56623104,52475.2,0.000915,3.006477,0.000479,-0.431641,0.0,0.107,-5.9442,0.007333,0.010558,0.010098,5.832031,12.930957
57409536,52693.9,-0.002488,2.668546,0.000465,-0.431641,0.0,0.1042,-5.9291,0.008937,0.007481,0.007625,5.837587,13.10314
