step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
4032823296,6826808.2,0.002213,3.048668,0.001467,-0.271484,0.0,0.8139,-0.2143,0.003692,0.003803,0.005282,7.40046,26.46929,0.00030634
4033609728,6715131.4,-0.002272,2.982659,0.001499,-0.277344,0.0,0.8078,-0.2352,0.003022,0.003792,0.004442,6.771139,25.96133,0.00028491
4034396160,6433670.3,0.006207,3.231664,0.001454,-0.277344,0.0,0.804,-0.2469,0.003337,0.003626,0.005539,9.068788,27.677694,0.00027606
4035182592,6332550.2,-0.002345,3.602398,0.001359,-0.279297,0.0,0.7986,-0.2624,0.003262,0.004306,0.006246,8.357857,27.480543,0.00027471
4035969024,6234822.1,0.001677,3.412378,0.001451,-0.255859,0.0,0.7938,-0.2765,0.004224,0.004162,0.005989,7.505432,27.445221,0.00028968
4036755456,6140147.5,0.002774,2.949739,0.001505,-0.259766,0.0,0.7893,-0.2956,0.002856,0.003252,0.004969,6.399041,27.42421,0.00027255
4037541888,5909034.9,-0.003568,2.671496,0.001517,-0.251953,0.0,0.7851,-0.3023,0.003959,0.004001,0.005764,6.320623,27.017273,0.00026231
4038328320,5820661.4,-0.000249,3.272363,0.001435,-0.271484,0.0,0.7817,-0.3096,0.003035,0.003329,0.003843,6.08569,26.875631,0.00024343
4039114752,5735583.2,-0.005403,2.833504,0.001482,-0.267578,0.0,0.7794,-0.3164,0.004028,0.003568,0.004881,7.64888,28.639446,0.00027483
4039901184,5541766.7,-0.004028,3.166567,0.001498,-0.261719,0.0,0.7755,-0.3247,0.003264,0.00368,0.004434,7.29363,27.908859,0.00026672
4040687616,5468040.1,0.006667,3.265246,0.001529,-0.261719,0.0,0.7725,-0.3288,0.003071,0.003145,0.00504,7.270147,27.7127,0.00025197
4041474048,5395616.1,0.003313,3.111679,0.001521,-0.269531,0.0,0.7688,-0.3425,0.003552,0.003494,0.004966,7.310344,27.301214,0.00026202
4042260480,5325355.6,-0.003768,2.914584,0.001457,-0.265625,0.0,0.7654,-0.3506,0.002866,0.003099,0.003559,6.188837,27.069786,0.00026632
4043046912,5166097.9,-0.000216,2.947786,0.001436,-0.263672,0.0,0.7625,-0.357,0.003273,0.002741,0.004511,7.650895,29.016264,0.00028068
4043833344,5101095.2,-0.000438,3.587658,0.00146,-0.277344,0.0,0.7579,-0.3651,0.003681,0.003653,0.005879,8.749186,28.961777,0.00026946
4044619776,5038250.6,0.003245,3.091625,0.001467,-0.265625,0.0,0.7534,-0.3713,0.003382,0.00299,0.004221,8.233708,28.906231,0.00028042
4045406208,4898284.9,-0.000969,2.91422,0.001568,-0.263672,0.0,0.7495,-0.3772,0.003595,0.003263,0.004221,6.716445,28.875057,0.00030979
4046192640,4840087.8,0.002209,2.136359,0.001501,-0.242188,0.0,0.7464,-0.3824,0.003671,0.003692,0.004761,6.126096,28.336895,0.00031732
4046979072,4783431.2,-0.001573,2.368409,0.001495,-0.24707,0.0,0.7436,-0.3848,0.002115,0.002917,0.002834,5.900987,27.626419,0.00029543
4047765504,4728921.3,-0.001573,1.734449,0.001529,-0.22168,0.0,0.7414,-0.3858,0.003324,0.003161,0.00471,6.82544,30.074926,0.00031626
4048551936,4600075.9,0.003116,2.65469,0.001555,-0.224609,0.0,0.7385,-0.3842,0.00364,0.003472,0.005058,7.872252,29.665539,0.00028884
4049338368,4549219.3,0.006788,2.892426,0.001664,-0.251953,0.0,0.7342,-0.3994,0.003633,0.00366,0.004986,7.51867,29.473602,0.00028458
4050124800,4498502.3,-0.000926,2.802098,0.001668,-0.263672,0.0,0.7299,-0.4154,0.003564,0.003263,0.004821,6.746728,28.637337,0.00032413
4050911232,4380893.4,-0.001239,3.145009,0.001676,-0.259766,0.0,0.7253,-0.434,0.002983,0.002808,0.004485,5.201315,27.773932,0.00026954
4051697664,4333965.6,-0.002187,2.820062,0.001539,-0.255859,0.0,0.7227,-0.4419,0.003287,0.002813,0.005436,8.494901,29.874477,0.00028841
4052484096,4288344.8,0.009252,3.044774,0.001499,-0.232422,0.0,0.7188,-0.4494,0.004685,0.004183,0.005742,8.021148,29.476957,0.00031972
4053270528,4243994.5,0.001577,2.704265,0.001508,-0.231445,0.0,0.7149,-0.4598,0.003934,0.003973,0.005929,6.795489,29.34922,0.00028575
4054056960,4146416.4,0.006445,3.40339,0.001584,-0.259766,0.0,0.7111,-0.469,0.004078,0.003169,0.004728,7.401742,28.362402,0.00029397
4054843392,4105290.7,0.001791,2.955148,0.001677,-0.251953,0.0,0.7062,-0.4826,0.003885,0.003378,0.005051,6.492195,28.605942,0.00033498
