step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
3532652544,5361925.9,0.000332,0.766965,0.00186,-0.324219,0.0,0.9039,0.4054,0.002356,0.003288,0.004378,3.204556,10.26416,0.00043155
3533438976,5253658.1,0.002259,0.793174,0.001822,-0.328125,0.0,0.9019,0.4015,0.002449,0.003387,0.004396,3.260028,10.217062,0.00043305
3534225408,5062315.1,-0.002269,0.704395,0.00182,-0.320312,0.0,0.9007,0.3988,0.002886,0.003284,0.004659,3.646827,11.033308,0.00040279
3535011840,4990206.6,-0.000849,0.919627,0.001928,-0.330078,0.0,0.8991,0.3956,0.003671,0.003121,0.00547,3.705617,10.863386,0.00039552
3535798272,4921211.4,0.004558,0.889532,0.001909,-0.330078,0.0,0.8973,0.3954,0.003185,0.002494,0.00365,4.09462,10.977374,0.00044132
3536584704,4854821.5,0.003606,0.652412,0.001928,-0.322266,0.0,0.8961,0.4009,0.002271,0.002269,0.003654,3.435036,10.547792,0.00038907
3537371136,4664614.4,-0.005671,0.712556,0.001838,-0.330078,0.0,0.8945,0.4049,0.00241,0.002646,0.004077,3.174805,10.275862,0.00039751
3538157568,4600442.2,-0.002872,0.662909,0.001735,-0.320312,0.0,0.8931,0.4083,0.002767,0.002373,0.003853,3.029845,10.273954,0.00034773
3538944000,4540366.9,0.001446,0.485064,0.001773,-0.308594,0.0,0.8924,0.4169,0.002371,0.002942,0.004034,3.188282,10.68129,0.00039084
3539730432,4374395.5,0.000969,0.729962,0.001796,-0.326172,0.0,0.8907,0.4185,0.002563,0.003165,0.003685,3.488335,10.730492,0.0004019
3540516864,4315887.4,-0.00117,0.393945,0.001675,-0.292969,0.0,0.8903,0.4308,0.003313,0.002642,0.003896,3.08852,10.436508,0.00039026
3541303296,4262552.7,-0.00144,0.409233,0.001667,-0.292969,0.0,0.8898,0.4406,0.002149,0.002582,0.003515,2.949176,10.096435,0.00038656
3542089728,4212554.8,0.002138,0.489869,0.001688,-0.300781,0.0,0.8897,0.4502,0.001946,0.00227,0.003498,2.985627,10.175502,0.0003793
3542876160,4072314.4,0.005793,0.54193,0.001715,-0.324219,0.0,0.8893,0.4528,0.003195,0.002627,0.004686,3.262036,10.497332,0.0004194
3543662592,4026277.1,0.003881,0.562474,0.001742,-0.316406,0.0,0.8895,0.4678,0.003354,0.002665,0.004807,3.408565,10.322594,0.0003753
3544449024,3981393.7,-0.001971,0.59542,0.001774,-0.314453,0.0,0.8892,0.4734,0.002406,0.002833,0.005085,3.142911,10.15002,0.00036886
3545235456,3871405.6,-0.001015,0.605165,0.00176,-0.322266,0.0,0.8887,0.4797,0.002899,0.00259,0.004392,2.784737,10.021693,0.0003938
3546021888,3829227.2,-0.006359,0.412965,0.001715,-0.294922,0.0,0.8887,0.4895,0.002092,0.002855,0.003532,2.946861,10.155574,0.00040411
3546808320,3788913.1,-0.001663,0.438572,0.001757,-0.294922,0.0,0.8888,0.497,0.002325,0.002546,0.003471,2.953978,9.988009,0.0003731
3547594752,3749791.3,0.002779,0.528313,0.001798,-0.308594,0.0,0.8893,0.5014,0.001893,0.002399,0.003722,3.348153,10.788467,0.00039366
3548381184,3647389.3,-0.000724,0.449411,0.001801,-0.291016,0.0,0.8901,0.5061,0.002135,0.002706,0.004694,3.34667,10.562799,0.00037816
3549167616,3610274.6,-0.004713,0.567371,0.001769,-0.310547,0.0,0.8898,0.5073,0.001958,0.002431,0.003993,3.218648,10.528358,0.00039386
