step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
35389440,52794.3,-0.001872,3.538303,0.000817,-1.03125,0.0,0.1038,-6.6869,0.04125,0.031827,0.013377,9.922117,10.055546
36175872,53165.9,-0.001256,3.464968,0.001132,-0.894531,0.0,0.1019,-6.6801,0.040564,0.021543,0.010935,8.033168,10.376951
36962304,52630.2,-0.004456,3.483273,0.000679,-0.914062,0.0,0.1001,-6.6825,0.01619,0.011202,0.006241,10.048647,9.816013
37748736,53004.3,-0.003088,3.245122,0.001332,-0.859375,0.0,0.0985,-6.6865,0.017979,0.021333,0.012422,8.638587,7.973739
38535168,53358.0,-0.001222,3.233214,0.000803,-0.9375,0.0,0.0975,-6.6886,0.011975,0.02126,0.013094,8.771055,10.901661
39321600,52742.3,-0.005723,3.67328,0.000869,-0.832031,0.0,0.0963,-6.6919,0.011145,0.017409,0.009485,6.77597,11.115558
40108032,53089.9,-0.001722,3.046044,0.00087,-0.902344,0.0,0.0971,-6.6551,0.01303,0.016742,0.008664,8.502867,10.191147
40894464,53432.8,-0.001866,2.721391,0.000787,-0.894531,0.0,0.0979,-6.6173,0.023665,0.02109,0.012384,9.651703,10.076833
41680896,53763.4,0.006615,2.923321,0.000641,-0.878906,0.0,0.0984,-6.5844,0.026069,0.014963,0.008453,10.221004,9.854214
42467328,53338.2,-0.003685,3.225865,0.000648,-0.789062,0.0,0.0981,-6.5688,0.043008,0.021494,0.013065,7.434268,12.692953
43253760,53654.0,-0.001848,3.052155,0.00066,-0.738281,0.0,0.0962,-6.5593,0.024271,0.01076,0.006685,6.865061,12.433311
44040192,53949.1,0.004087,2.861039,0.000718,-0.839844,0.0,0.0944,-6.5463,0.017865,0.01289,0.008692,8.631132,11.325802
44826624,53367.2,-0.005294,2.930483,0.001062,-0.765625,0.0,0.0929,-6.5314,0.014811,0.012773,0.008203,9.011508,11.937178
45613056,53668.9,-0.003813,2.870914,0.000699,-0.71875,0.0,0.0926,-6.5109,0.011539,0.010327,0.006662,8.398411,10.777221
46399488,53959.3,0.005269,2.984311,0.000676,-0.832031,0.0,0.0923,-6.4859,0.011084,0.01146,0.006164,8.854565,7.654635
47185920,54243.0,-0.002832,2.846056,0.000638,-0.820312,0.0,0.0922,-6.4708,0.007,0.009812,0.006003,7.763674,12.713119
47972352,53764.8,0.000475,3.169799,0.001054,-0.8125,0.0,0.0917,-6.4508,0.01716,0.015268,0.008824,7.445721,11.887484
48758784,54037.5,-0.005687,2.615721,0.000789,-0.875,0.0,0.0909,-6.4267,0.024106,0.013065,0.008992,8.593792,10.344813
49545216,54264.1,-0.000274,2.716713,0.00076,-0.90625,0.0,0.0898,-6.4067,0.016455,0.015074,0.009608,10.681069,11.029601
50331648,53609.8,0.000111,3.094769,0.000641,-0.867188,0.0,0.0887,-6.3911,0.010227,0.008166,0.004823,9.24512,7.931569
51118080,53870.9,0.001887,2.936866,0.000695,-0.828125,0.0,0.0878,-6.388,0.013485,0.014406,0.009124,8.082923,12.679973
51904512,54076.0,0.000564,3.032569,0.000972,-0.894531,0.0,0.0866,-6.377,0.020532,0.017605,0.011634,8.91616,12.148994
52690944,54329.5,0.003327,2.600432,0.00065,-0.851562,0.0,0.0857,-6.3606,0.010418,0.009733,0.006121,9.691101,12.888517
53477376,53873.9,-0.003043,2.746661,0.000843,-0.832031,0.0,0.0848,-6.341,0.012382,0.009538,0.006613,10.499542,12.294857
54263808,54107.5,-0.007369,2.364493,0.000648,-0.703125,0.0,0.084,-6.3027,0.018972,0.013268,0.009098,9.661234,11.421557
55050240,54355.7,-0.00899,2.561522,0.000763,-0.792969,0.0,0.083,-6.2646,0.014072,0.016576,0.010531,8.61375,13.264076
55836672,54587.5,0.001051,2.568314,0.000863,-0.640625,0.0,0.0824,-6.2409,0.012594,0.014215,0.007006,6.242376,14.221914
56623104,53930.8,0.005325,2.876861,0.000689,-0.8125,0.0,0.0837,-6.2087,0.013201,0.010895,0.007027,8.54843,11.560528
57409536,54168.4,0.006477,2.60039,0.000695,-0.824219,0.0,0.0861,-6.1803,0.030071,0.008498,0.00645,9.234998,11.150351
58195968,54399.8,-0.002436,2.570483,0.000871,-0.824219,0.0,0.0886,-6.1474,0.024725,0.013298,0.009374,10.305421,10.989429
58982400,53861.7,0.00219,2.887646,0.000691,-0.800781,0.0,0.0901,-6.1187,0.012651,0.00899,0.006589,8.154696,13.811491
59768832,54060.7,0.00268,2.417423,0.000668,-0.804688,0.0,0.0896,-6.0977,0.015126,0.005768,0.00478,8.415409,13.251589
60555264,54270.8,0.004092,2.520496,0.000668,-0.90625,0.0,0.089,-6.0591,0.015764,0.006815,0.004975,10.084682,12.985947
61341696,54457.1,-0.006523,2.389466,0.00066,-0.9375,0.0,0.0885,-6.0214,0.014338,0.005903,0.005437,11.556922,12.996506
62128128,53921.4,0.004082,2.730417,0.000659,-0.949219,0.0,0.0883,-5.9836,0.010828,0.003918,0.004465,12.479356,11.917347
62914560,54133.6,0.004858,2.320981,0.001008,-0.855469,0.0,0.0884,-5.9399,0.012759,0.008074,0.007742,11.179846,10.562683
63700992,54326.4,-0.004074,2.17019,0.000682,-0.742188,0.0,0.0884,-5.9051,0.011963,0.01106,0.008036,6.923141,15.03765
64487424,53802.4,-0.002761,2.522294,0.000671,-0.917969,0.0,0.0883,-5.8568,0.008713,0.005342,0.005105,10.779077,12.251333
65273856,54015.5,-0.002072,2.21596,0.000913,-0.867188,0.0,0.0894,-5.808,0.01456,0.01098,0.008745,10.434462,12.884559
66060288,54197.2,0.001479,2.263572,0.001418,-0.90625,0.0,0.0906,-5.769,0.010539,0.009674,0.009005,12.515033,12.865455
66846720,54408.9,0.000158,2.202027,0.000699,-0.835938,0.0,0.0917,-5.7226,0.008556,0.009223,0.008018,12.000512,12.311686
