feature,human,rho,a-2,a-1,a+0,a+1,a+2
headway_T,2.059,-0.9999999999999999,2.3040000000000003,2.002,1.788,1.537,1.4635
jam_s0,3.5895,-0.19999999999999998,4.408,3.9785,4.7405,4.168,4.0265
v_freeflow_rel,0.8276,0.9999999999999999,0.7657,0.7758,0.78235,0.7854,0.7966
pet,3.4,-0.9486832980505137,2.4,2.4,2.2,2.2,2.1
min_ttc,5.5415,-0.8999999999999998,3.287,2.958,2.649,2.35,2.4825
mrd,0.23,0.8999999999999998,0.631,0.7645,0.863,0.971,0.947
speed_ff,10.5165,0.9999999999999999,11.285,11.6005,11.968499999999999,12.098500000000001,12.322
speed_fol,5.833,0.9999999999999999,2.269,2.475,2.7955,2.884,3.3475
speed_zone,5.108,0.9999999999999999,6.615,7.014,7.31,7.4745,7.776
accel_ff,2.512,0.9999999999999999,3.635,3.7,3.834,3.8485,3.852
accel_fol,0.933,0.8999999999999998,1.714,1.718,1.8585,1.857,1.888
accel_zone,1.102,0.9999999999999999,2.294,2.388,2.4,2.4675000000000002,2.515
pet,3.5,-0.9999999999999999,2.6,2.5,2.4,2.3,2.1
min_ttc,6.324,-0.8999999999999998,3.442,3.0285,2.857,2.3445,2.443
mrd,0.192,0.9999999999999999,0.52,0.637,0.732,0.8385,0.848
pet,3.2,-0.4472135954999579,2.1,2.1,1.9,2.1,2.0
min_ttc,4.601,-0.39999999999999997,2.892,2.507,2.334,2.325,2.516
mrd,0.307,0.7999999999999999,0.903,1.297,1.156,1.533,1.459
