feature,human,rho,a-2,a-1,a+0,a+1,a+2
headway_T,2.059,-0.9999999999999999,2.065,1.9865,1.802,1.6095000000000002,1.4555
jam_s0,3.5895,0.3,4.259,4.4,4.3965,4.228,4.415
v_freeflow_rel,0.8276,0.8999999999999998,0.7874,0.7944,0.8035,0.8061,0.80445
pet,3.4,-0.9999999999999999,2.5,2.4,2.2,2.1,2.0
min_ttc,5.5415,-0.8999999999999998,3.335,3.04,2.718,2.753,2.499
mrd,0.23,0.8999999999999998,0.647,0.709,0.951,0.946,1.031
speed_ff,10.5165,0.8999999999999998,11.333,11.9385,12.3215,12.248,12.7065
speed_fol,5.833,0.9999999999999999,2.311,2.339,2.585,2.766,3.124
speed_zone,5.108,0.8999999999999998,6.815,6.94,7.6055,7.582,7.903
accel_ff,2.512,0.7,3.533,3.684,3.816,3.7215,3.776
accel_fol,0.933,0.8999999999999998,1.673,1.768,1.83,1.867,1.865
accel_zone,1.102,0.9999999999999999,2.251,2.302,2.3165,2.468,2.499
pet,3.5,-0.9999999999999999,2.6,2.5,2.4,2.3,2.1
min_ttc,6.324,-0.9999999999999999,3.335,3.205,2.8440000000000003,2.822,2.55
mrd,0.192,0.9999999999999999,0.554,0.6,0.729,0.745,0.863
pet,3.2,-0.8999999999999998,2.1,2.0,1.9,1.8,1.85
min_ttc,4.601,-0.7,3.3205,2.6165000000000003,2.3055,2.569,2.462
mrd,0.307,0.6,0.826,1.147,1.558,1.502,1.4115
