feature,human,rho,a-2,a-1,a+0,a+1,a+2
headway_T,2.059,-0.8999999999999998,2.2649999999999997,2.276,1.971,1.823,1.58
jam_s0,3.5895,-0.9999999999999999,4.569,4.559,4.2805,4.1825,3.8345000000000002
v_freeflow_rel,0.8276,0.8999999999999998,0.7464,0.7666,0.78555,0.7954,0.7926
pet,3.4,-0.9486832980505137,2.6,2.6,2.5,2.2,2.2
min_ttc,5.5415,-0.9999999999999999,3.599,3.275,2.8485,2.754,2.522
mrd,0.23,0.9999999999999999,0.56,0.634,0.75,0.796,0.9015
speed_ff,10.5165,0.9999999999999999,10.768,11.305499999999999,11.583,11.966,12.032
speed_fol,5.833,0.9999999999999999,2.045,2.2355,2.528,2.685,2.915
speed_zone,5.108,0.9999999999999999,6.481999999999999,6.922,7.155,7.3985,7.617
accel_ff,2.512,-0.6,3.63,3.6485000000000003,3.637,3.519,3.523
accel_fol,0.933,0.8999999999999998,1.6555,1.7069999999999999,1.704,1.708,1.732
accel_zone,1.102,0.6,2.263,2.303,2.29,2.289,2.373
pet,3.5,-0.9746794344808963,2.8,2.7,2.5,2.3,2.3
min_ttc,6.324,-0.9999999999999999,3.458,3.255,3.042,2.881,2.446
mrd,0.192,0.8999999999999998,0.479,0.52,0.7095,0.662,0.798
pet,3.2,-0.5270462766947298,2.0,2.3,2.3,2.0,1.9
min_ttc,4.601,-0.6,3.708,3.1935000000000002,2.3345000000000002,2.574,2.731
mrd,0.307,0.7999999999999999,0.9904999999999999,0.913,1.115,1.036,1.139
