feature,human,rho,a-2,a-1,a+0,a+1,a+2
headway_T,2.059,-0.9999999999999999,2.355,2.3369999999999997,2.198,1.86,1.693
jam_s0,3.5895,-0.7999999999999999,4.513999999999999,4.593,4.24,4.354,4.11
v_freeflow_rel,0.8276,0.9999999999999999,0.76935,0.78165,0.78255,0.7944,0.7986
pet,3.4,-0.8944271909999159,2.6,2.6,2.6,2.5,2.2
min_ttc,5.5415,-0.9999999999999999,3.435,3.384,3.268,2.9314999999999998,2.6580000000000004
mrd,0.23,0.8999999999999998,0.619,0.601,0.683,0.6915,0.845
speed_ff,10.5165,0.9999999999999999,10.6615,11.025,11.088999999999999,11.248,11.524
speed_fol,5.833,0.8999999999999998,2.1449999999999996,2.058,2.3625,2.5935,2.873
speed_zone,5.108,0.9999999999999999,6.189,6.65,6.887,7.077999999999999,7.427
accel_ff,2.512,0.09999999999999999,3.2765,3.353,3.378,3.342,3.323
accel_fol,0.933,0.8999999999999998,1.6735,1.665,1.752,1.761,1.777
accel_zone,1.102,0.9999999999999999,2.1635,2.201,2.226,2.258,2.2925
pet,3.5,-0.9746794344808963,2.8,2.7,2.6,2.6,2.3
min_ttc,6.324,-0.8999999999999998,3.516,3.556,3.163,3.0725,2.6449999999999996
mrd,0.192,0.8999999999999998,0.4865,0.5,0.62,0.617,0.7895000000000001
pet,3.2,-0.7905694150420949,2.4,2.2,2.4,2.1,2.1
min_ttc,4.601,-0.7999999999999999,3.306,3.3405,3.288,2.6334999999999997,2.672
mrd,0.307,-0.6,0.982,1.018,0.904,0.855,0.97
