feature,human,rho,a-2,a-1,a+0,a+1,a+2
headway_T,2.059,-0.9999999999999999,2.135,1.9395,1.848,1.6915,1.518
jam_s0,3.5895,0.3,4.234,4.169,4.2745,4.224,4.259
v_freeflow_rel,0.8276,0.8999999999999998,0.7617,0.7718,0.7794,0.7906,0.7902
pet,3.4,-0.8207826816681234,2.5,2.4,2.3499999999999996,2.4,2.2
min_ttc,5.5415,-0.7999999999999999,3.394,3.589,3.296,2.933,3.004
mrd,0.23,0.8999999999999998,0.6074999999999999,0.599,0.6905,0.746,0.832
speed_ff,10.5165,0.7,11.638,11.409,11.617,11.717,11.877
speed_fol,5.833,0.9999999999999999,2.339,2.3765,2.7685,2.862,2.9234999999999998
speed_zone,5.108,0.8999999999999998,7.121,6.885,7.217499999999999,7.308,7.591
accel_ff,2.512,-0.9999999999999999,3.811,3.718,3.624,3.546,3.514
accel_fol,0.933,0.9999999999999999,1.577,1.6360000000000001,1.6515,1.685,1.7465
accel_zone,1.102,0.3,2.306,2.256,2.247,2.273,2.32
pet,3.5,-0.9746794344808963,2.7,2.6,2.6,2.5,2.3
min_ttc,6.324,-0.9999999999999999,3.506,3.4405,3.127,2.933,2.84
mrd,0.192,0.8999999999999998,0.541,0.529,0.565,0.6345000000000001,0.706
pet,3.2,-0.22360679774997896,2.0,2.1,1.9,2.0,2.0
min_ttc,4.601,-0.19999999999999998,3.0605,3.8505000000000003,3.2015000000000002,2.822,3.0735
mrd,0.307,0.6,0.979,0.954,1.14,1.23,1.124
