[mifut] no existing checkpoint in /scratch/e452103/checkpoints/roma_mifutagent_dim4_H8_r16p64_ep_film_comply -- fresh run
[mifut] role_dim=4  H=8  maps=10000  total_steps=3000000000
[mifut] role view: road=16 partner=64  mi_target=ego_partner
[mifut] FiLM conditioning: --role_film
[mifut] compliance=0.05 perturb_frac=0.15 alpha=2.0
[mifut] compliance_perturbed_only=1
[mifut] div_weight=0.1  mi_weight=1.0  wandb_name=roma_mifutagentH8_dim4_r16p64_ep_film_comply_maps10000_0
[mifut] code=/home/e452103/roma_film  save=/scratch/e452103/checkpoints/roma_mifutagent_dim4_H8_r16p64_ep_film_comply
[mifut] branch=mi-future-agentcentric-film commit=4d9d187
[ROMA] Device        : cuda
[ROMA] AMP (bf16)    : enabled
[ROMA] role_dim      : 4
[ROMA] num_maps      : 10000
[ROMA] num_agents    : 3072
[ROMA] total_steps   : 3,000,000,000
[ROMA] mi_weight     : 1.0
[ROMA] div_weight    : 0.1
[ROMA] mi_target     : ego_partner
[ROMA] role view     : road=16 partner=64 (policy GRU always sees the full 128)
[ROMA] mi_horizon    : 8 (future MI: z_t predicts emb t+1..t+8)
[ROMA] wandb initialized: https://wandb.ai/s-rahmani-tu-delft/roma-pufferdrive/runs/ot5z0ebt
[ROMA] obs_dim       : 1121 (auto-detected)
[ROMA] CSV log       : /scratch/e452103/checkpoints/roma_mifutagent_dim4_H8_r16p64_ep_film_comply/training_log.csv
[ROMA] Training for 3,000,000,000 steps ...
[ROMA step   13,369,344] sps= 48,078  policy_loss=0.0030  value_loss=3.3868  mi_loss=0.0007  mi_valid=0.89  div_loss=0.0021  kl_loss=0.0000 (disabled)  score=0.137  return=-6.923  role_std=1.6498  role_norm=2.7032  enc_delta ego=0.0236 partner=0.0267 road=0.0145
[ROMA step   14,155,776] sps= 45,345  policy_loss=0.0040  value_loss=4.1531  mi_loss=0.0006  mi_valid=0.83  div_loss=0.0160  kl_loss=0.0000 (disabled)  score=0.136  return=-6.921  role_std=1.8575  role_norm=2.9702  enc_delta ego=0.0276 partner=0.0276 road=0.0166
[ROMA step   14,942,208] sps= 46,441  policy_loss=-0.0049  value_loss=3.7554  mi_loss=0.0006  mi_valid=0.86  div_loss=0.0013  kl_loss=0.0000 (disabled)  score=0.133  return=-6.951  role_std=1.8706  role_norm=2.9647  enc_delta ego=0.0244 partner=0.0191 road=0.0099
[ROMA step   15,728,640] sps= 47,467  policy_loss=-0.0004  value_loss=3.6193  mi_loss=0.0006  mi_valid=0.86  div_loss=0.0027  kl_loss=0.0000 (disabled)  score=0.129  return=-6.976  role_std=2.0132  role_norm=3.2926  enc_delta ego=0.0189 partner=0.0196 road=0.0106
[ROMA step   16,515,072] sps= 48,435  policy_loss=0.0005  value_loss=3.5268  mi_loss=0.0006  mi_valid=0.86  div_loss=0.0038  kl_loss=0.0000 (disabled)  score=0.126  return=-6.992  role_std=2.1477  role_norm=3.8113  enc_delta ego=0.0151 partner=0.0161 road=0.0089
[ROMA step   17,301,504] sps= 46,579  policy_loss=0.0020  value_loss=3.9918  mi_loss=0.0006  mi_valid=0.86  div_loss=0.0003  kl_loss=0.0000 (disabled)  score=0.126  return=-6.995  role_std=1.6960  role_norm=2.8582  enc_delta ego=0.0454 partner=0.0281 road=0.0173
[ROMA step   18,087,936] sps= 47,445  policy_loss=-0.0080  value_loss=3.9682  mi_loss=0.0005  mi_valid=0.86  div_loss=0.0125  kl_loss=0.0000 (disabled)  score=0.127  return=-6.979  role_std=1.7680  role_norm=2.8419  enc_delta ego=0.0303 partner=0.0258 road=0.0177
[ROMA step   18,874,368] sps= 48,278  policy_loss=-0.0059  value_loss=3.8292  mi_loss=0.0005  mi_valid=0.86  div_loss=0.0218  kl_loss=0.0000 (disabled)  score=0.128  return=-6.968  role_std=1.8200  role_norm=2.9907  enc_delta ego=0.0161 partner=0.0160 road=0.0104
[ROMA step   19,660,800] sps= 46,625  policy_loss=-0.0053  value_loss=3.8392  mi_loss=0.0005  mi_valid=0.83  div_loss=0.0102  kl_loss=0.0000 (disabled)  score=0.129  return=-6.954  role_std=2.0862  role_norm=3.4033  enc_delta ego=0.0220 partner=0.0232 road=0.0149
[ROMA step   20,447,232] sps= 47,412  policy_loss=-0.0012  value_loss=3.8381  mi_loss=0.0005  mi_valid=0.86  div_loss=0.0130  kl_loss=0.0000 (disabled)  score=0.128  return=-6.954  role_std=2.2049  role_norm=4.2058  enc_delta ego=0.0186 partner=0.0281 road=0.0135
